seg_route_from,seg_route_to,seg_cabin,seg_dep_time,pax_fcny,pax_tax,emd_lable2,gender,age,residence_country,nation_name,cabin_hf_cnt_y3,cabin_f_cnt_y3,cabin_hy_cnt_y3,cabin_y_cnt_y3,cabin_c_cnt_y3,seat_window_cnt_y3,seat_walkway_cnt_y3,seat_middle_cnt_y3,seat_safe_cnt_y3,prebuy_d_cnt_y3_d99,prebuy_i_cnt_y3_d99,flt_cnt_y3,dist_cnt_y3,flt_nature_cnt_y3,cabin_upgrd_cnt_y3,select_seat_cnt_y3,dist_d_cnt_y3,dist_i_cnt_y3,dist_all_cnt_y3,cabin_hd_cnt_y3,cabin_hi_cnt_y3,flt_leg_cnt_y3,flt_leg_i_cnt_y3,flt_leg_d_cnt_y3,cabin_f_cnt_y3.1,cabin_c_cnt_y3.1,cabin_y_cnt_y3.1,cabin_upgrd_cnt_y3.1,cabin_fall_cnt_y3,flt_bag_cnt_y3,tkt_3y_amt,tkt_avg_amt_y3,tkt_d_amt_y3,tkt_i_amt_y3,tkt_all_amt_y3,tkt_avg_amt_y3.1,mdl_mcv,mdl_lost_idx,mdl_influence,mdl_loyal
PVG,JFK,J,2018/12/16 20:00,4161.0,584.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
PVG,JFK,J,2019/2/18 20:00,1670.0,248.8,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,3,0,0,0,0,894,0,0,0,2,0,0,1,0,3,0,0,0,0,0.0,3253.556667,910.0,8850.67,9760.67,3253.556667,50,0,0.0,0
PVG,LAX,Y,2018/3/9 13:20,243.0,301.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
PVG,LAX,Y,2018/1/2 13:20,1362.0,454.16,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,2,2,21675,2,0,0,0,21675,21675,0,0,2,2,0,0,0,2,0,0,2,4334.43,4515.03,0.0,9030.06,9030.06,4515.03,50,0,0.0,0
PVG,JFK,Y,2018/7/6 11:30,675.0,284.11,1,M,0,中国,0,0,0,0,0,0,0,4,0,0,0,4,0,28705,4,0,0,0,28705,28705,0,0,4,4,0,0,0,0,0,0,4,4392.89,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
PVG,LAX,Y,2019/3/24 13:20,250.0,298.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
PVG,JFK,Y,2019/8/18 19:10,700.0,292.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
PVG,JFK,Y,2017/7/7 19:10,1222.0,453.66,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,37372,3,0,0,0,37372,37372,0,0,3,3,0,0,0,0,0,0,3,5484.51,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
PVG,JFK,Y,2018/12/8 19:30,200.0,299.61,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.0,313.82,0.0,1255.28,1255.28,313.82,10,0,0.0,0
PVG,LAX,Y,2017/5/25 21:00,302.0,441.96,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.0,520.24,0.0,2080.96,2080.96,520.24,20,0,31.76915123,0
PVG,JFK,Y,2018/1/13 20:00,652.0,454.26,0,0,21-30,0,中国,0,0,0,4,1,4,0,0,0,0,0,5,0,0,0,3,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0.0,5351.132,0.0,26755.66,26755.66,5351.132,100,0,0.0,0
PVG,LAX,Y,2018/4/11 21:00,240.0,299.36,0,0,0,0,0,0,0,2,0,0,0,1,3,0,2,2,0,23608,4,0,0,0,21675,23608,0,0,4,2,0,0,0,0,0,0,4,1585.62,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
PVG,LAX,Y,2018/7/27 21:00,465.0,225.91,0,0,31-40,0,美国,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,1459.26,0.0,2918.52,2918.52,1459.26,20,0,0.0,0
PVG,LAX,Y,2018/4/5 21:00,150.0,280.46,0,M,0,中国,0,0,0,0,0,0,0,0,0,0,0,4,0,27869,4,0,0,0,27869,27869,0,0,4,4,0,0,0,0,0,0,4,994.5,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
PVG,LAX,Y,2018/12/20 21:00,220000.0,313200.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,23713,4,0,0,0,23713,23713,0,0,4,4,0,0,0,0,0,0,4,1295.24,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
PVG,LAX,Y,2017/11/5 21:00,450.0,279.86,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4,4,27713,4,0,0,0,27713,27713,0,0,4,4,0,0,0,4,0,0,4,3021.65,755.4125,0.0,3021.65,3021.65,755.4125,20,0,0.0,0
PVG,LAX,Y,2019/9/16 21:00,388.0,280.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
PVG,JFK,Y,2018/7/24 19:10,950.0,283.81,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.0,926.7575,0.0,3707.03,3707.03,926.7575,20,0,0.0,0
PVG,LAX,Y,2018/12/11 13:20,111.0,454.43,0,M,41-50,中国,墨西哥,0,0,0,17,0,2,10,5,0,0,1,17,51047,17,0,0,6181,44866,51047,0,0,17,5,12,0,0,17,0,0,16,6419.0,514.6470588,4720.0,4029.0,8749.0,514.6470588,90,0,47.56983804,0
PVG,LAX,Y,2018/11/13 13:00,215.0,414.61,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,25783,3,0,0,0,25783,25783,0,0,3,3,0,0,0,0,0,0,1,1270.86,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
PVG,LAX,Y,2019/4/26 13:00,300.0,286.63,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,14641,3,0,0,0,12599,14641,0,0,3,2,0,0,0,0,0,0,3,813.75,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
PVG,LAX,J,2018/3/11 21:00,1995.0,460.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
PVG,JFK,Y,2018/8/28 20:30,0.0,450.91,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,3,0,57366,8,0,0,0,54588,57366,0,0,8,6,0,0,0,0,0,0,7,5060.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
PVG,LAX,Y,2019/9/6 21:00,470.0,282.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
PVG,JFK,Y,2018/11/13 20:00,903.0,304.63,0,0,31-40,0,美国,0,0,0,4,0,3,0,0,0,0,0,8,0,0,0,2,1852,0,0,0,0,0,0,4,0,0,4,0,0,0,0.0,943.12375,197.83,7347.16,7544.99,943.12375,0,0,0.0,0
PVG,JFK,Y,2018/2/27 11:30,200.0,299.76,0,0,31-40,0,美国,0,0,0,4,0,3,0,0,0,0,0,8,0,0,0,2,1852,0,0,0,0,0,0,4,0,0,4,0,0,0,0.0,943.12375,197.83,7347.16,7544.99,943.12375,0,0,0.0,0
PVG,LAX,Y,2019/6/2 21:00,290.0,427.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
PVG,JFK,Y,2019/4/27 19:10,61500.0,29410.0,0,0,0,0,0,0,0,0,4,0,1,3,0,0,0,4,4,30239,4,0,0,0,30239,30239,0,0,4,4,0,0,0,4,0,0,4,3733.66,933.415,0.0,3733.66,3733.66,933.415,30,0,0.0,0
PVG,JFK,J,2017/10/21 11:30,3515.0,263.96,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,12934,1,0,0,0,12934,12934,0,0,1,1,0,0,0,0,0,0,1,23372.29,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
PVG,LAX,J,2019/4/22 13:00,2350.0,281.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
PVG,LAX,Y,2017/2/28 13:25,690.0,215.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
PVG,JFK,Y,2018/8/20 20:30,1326.0,226.41,0,F,0,中国,0,0,0,0,0,0,0,1,2,0,0,1,0,28800,4,0,0,0,28800,28800,0,0,4,4,0,0,0,0,0,0,4,15468.15,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
PVG,JFK,J,2019/3/9 20:20,2492.0,320.99,0,0,41-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
PVG,JFK,J,2019/3/9 20:20,2890.0,264.03,0,0,41-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
PVG,LAX,Y,2018/9/14 21:00,290.0,283.11,0,M,0,中国,0,0,0,0,0,0,0,0,1,0,0,3,0,25485,3,0,0,0,25485,25485,0,0,3,3,0,0,0,0,0,0,2,1550.45,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
PVG,JFK,Y,2018/7/11 20:30,1844.0,277.81,0,0,0,0,0,0,0,0,4,0,2,0,2,0,0,0,4,28705,4,0,0,0,28705,28705,0,0,4,4,0,0,0,4,0,0,4,11815.98,2953.995,0.0,11815.98,11815.98,2953.995,100,0,0.0,0
PVG,JFK,Y,2018/1/27 20:15,135.0,280.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
PVG,LAX,Y,2018/2/19 21:00,300.0,299.91,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,4,0,0,0,0,2222,0,0,0,0,0,0,2,0,0,2,0,0,0,0.0,488.0925,164.85,1787.52,1952.37,488.0925,20,0,0.0,0
PVG,JFK,Y,2017/7/8 19:10,756.0,270.36,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.0,1407.133333,0.0,4221.4,4221.4,1407.133333,110,0,0.0,0
PVG,JFK,J,2019/4/21 11:30,2915.0,290.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
PVG,LAX,Y,2017/9/17 19:35,320.0,400.66,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8520,2,0,0,0,8520,8520,0,0,2,2,0,0,0,0,0,0,2,606.28,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
PVG,JFK,Y,2018/8/29 11:30,1024.0,455.51,0,M,0,中国,0,0,0,0,0,0,0,2,0,0,0,2,0,26478,2,0,0,0,26478,26478,0,0,2,2,0,0,0,0,0,0,2,9824.84,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
PVG,JFK,Y,2018/8/31 11:30,1036.0,455.51,0,M,0,中国,0,0,0,0,0,0,0,2,0,0,0,2,0,26478,2,0,0,0,26478,26478,0,0,2,2,0,0,0,0,0,0,2,9824.84,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
PVG,JFK,Y,2018/5/31 11:30,1012.0,455.51,0,M,0,中国,0,0,0,0,0,0,0,2,0,0,0,2,0,26478,2,0,0,0,26478,26478,0,0,2,2,0,0,0,0,0,0,2,9824.84,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
PVG,JFK,Y,2018/8/26 11:30,903.0,455.51,0,M,0,中国,0,0,0,0,0,0,0,2,0,0,0,2,0,26478,2,0,0,0,26478,26478,0,0,2,2,0,0,0,0,0,0,2,9824.84,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
PVG,LAX,J,2018/10/26 21:00,3276.0,289.83,0,F,0,中国,0,1,0,0,0,0,0,3,0,0,0,1,0,45494,8,0,0,0,42097,45494,0,0,8,5,0,0,0,0,0,0,4,70511.25,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
PVG,JFK,J,2018/7/26 20:30,1316.0,190.01,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0.0,5319.4525,0.0,21277.81,21277.81,5319.4525,120,0,0.0,0
PVG,LAX,Y,2019/3/2 21:00,57500.0,30530.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
PVG,JFK,Y,2018/1/12 20:00,566.0,454.16,0,F,31-40,中国,中国,0,0,0,4,0,1,3,0,0,0,1,4,50374,4,0,1,0,50374,50374,0,0,4,4,0,0,0,4,0,0,4,6808.27,2049.18,0.0,8196.72,8196.72,2049.18,0,0,0.0,0
PVG,JFK,Y,2018/1/10 20:00,566.0,454.16,0,F,31-40,中国,中国,0,0,0,4,0,1,3,0,0,0,1,4,50374,4,0,1,0,50374,50374,0,0,4,4,0,0,0,4,0,0,4,6808.27,2049.18,0.0,8196.72,8196.72,2049.18,0,0,0.0,0
PVG,JFK,J,2018/4/30 19:10,2100.0,279.41,0,F,0,中国,0,0,0,0,0,0,0,6,0,0,0,6,0,45482,6,0,0,0,45482,45482,0,0,6,6,0,0,0,0,0,0,6,20499.87,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
PVG,LAX,Y,2018/9/1 21:00,285000.0,338200.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.0,420.76,0.0,1683.04,1683.04,420.76,20,0,0.0,0
PVG,JFK,Y,2018/5/12 19:10,704.0,243.51,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.0,3166.755,0.0,12667.02,12667.02,3166.755,50,0,0.0,0
PVG,LAX,Y,2018/8/28 21:00,550.0,231.71,0,F,51-60,中国,美国,0,0,0,2,0,0,0,2,0,0,0,2,13673,2,0,0,0,13673,13673,0,0,2,2,0,0,0,2,0,0,2,3756.12,1878.06,0.0,3756.12,3756.12,1878.06,20,0,0.0,0
PVG,LAX,Y,2019/6/2 13:00,120.0,297.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
PVG,LAX,Y,2019/7/17 21:05,550.0,232.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
PVG,LAX,J,2018/5/10 21:00,1983.0,292.31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,12446.1,0.0,12446.1,12446.1,12446.1,100,0,0.0,0
PVG,LAX,J,2017/3/5 21:00,2181.0,477.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
PVG,JFK,Y,2018/8/25 20:30,1767.0,450.61,0,M,0,中国,0,0,0,1,0,0,0,1,4,0,0,4,0,65346,5,0,0,0,65346,65346,0,0,5,5,0,0,0,0,0,0,5,22400.41,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
PVG,JFK,J,2018/4/23 11:30,3230.0,545.61,0,M,0,中国,0,0,0,0,0,0,0,3,1,0,0,2,0,55143,8,0,0,0,49770,55143,0,0,8,4,0,0,0,0,0,0,8,38352.7,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
PVG,JFK,Y,2017/9/22 11:30,313.0,366.76,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,1050.87,0.0,2101.74,2101.74,1050.87,20,0,0.0,0
PVG,LAX,Y,2018/11/6 21:00,510.0,270.41,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,12254,2,0,0,0,12254,12254,0,0,2,2,0,0,0,0,0,0,2,2126.27,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
