seg_route_to,seg_flight,seg_cabin,pax_fcny,emd_lable,gender,cabin_c_cnt_y1,cabin_c_cnt_y2,cabin_c_cnt_y3,pref_aircraft_y1_3,pref_aircraft_y1_4,pref_aircraft_y1_5,pref_aircraft_y2_1,pref_aircraft_y2_2,pref_aircraft_y2_3,pref_aircraft_y2_4,pref_aircraft_y2_5,pref_aircraft_y3_1,pref_aircraft_y3_2,pref_aircraft_y3_3,pref_aircraft_y3_4,pref_aircraft_y3_5,seat_middle_cnt_m3,pref_city_y2_1,dist_cnt_y3,avg_dist_cnt_y2,avg_dist_cnt_y3,select_seat_cnt_y1,select_seat_cnt_y2,select_seat_cnt_y3,dist_i_cnt_y2,dist_i_cnt_y3,dist_all_cnt_y3,cabin_hi_cnt_y1,cabin_hi_cnt_y2,cabin_hi_cnt_y3,flt_delay_time_m3,flt_delay_time_m6,tkt_3y_amt,tkt_avg_amt_y3,tkt_avg_interval_y2,tkt_avg_interval_y3,pit_all_amt,pit_accu_air_amt,pit_now_cons_amt,pit_accu_amt_y3,pit_avg_amt_y2,pit_avg_amt_y3,pit_add_chnl_y2,pit_add_chnl_y3,emd_lable2
0,6,2,2059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,639,3,3,0,0,4,0,4,0,0,0,0,0,0
0,6,2,1349,1,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484,487,0,0,0,0,0,0,2,2,2,660,639,3,3761,0,0,4,0,4,0,0,0,0,0,0
1,9,4,187,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,639,3,3,0,0,4,0,4,0,0,0,0,0,0
1,9,4,1182,0,0,0,0,0,0,0,0,0,0,0,0,0,21,27,26,26,25,0,0,561,1955,2283,0,0,0,0,384,561,0,0,0,660,639,2643,4139,0,0,4,0,4,0,0,0,0,0,0
0,10,4,613,1,2,0,0,0,0,0,0,24,9,5,0,0,21,9,5,0,0,0,41,1073,0,0,0,0,0,569,661,1073,0,0,0,660,639,2661,3,0,0,4,0,4,0,0,0,0,0,16
1,9,4,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,639,3,3,0,0,4,0,4,0,0,0,0,0,0
0,6,4,638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,639,3,3,0,0,4,0,4,0,0,0,0,0,0
0,6,4,1084,1,0,0,0,0,0,0,0,0,0,0,0,0,21,27,26,26,25,0,0,1491,0,0,0,0,0,0,951,1491,0,0,0,660,639,3062,3,0,0,4,0,4,0,0,0,0,0,16
0,6,4,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1567,1791,0,0,0,0,0,0,0,0,0,660,639,3,408,0,0,4,0,4,0,0,0,0,0,0
1,8,4,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,934,0,0,0,0,0,0,0,0,0,660,639,3,1088,0,0,4,0,4,0,0,0,0,0,0
0,6,4,591,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,2363,0,0,3,0,0,0,1,1,1,614,594,3,4258,0,0,4,0,4,0,0,0,0,0,0
1,8,4,184,0,0,0,0,0,0,0,0,24,14,1,0,0,21,14,1,0,0,0,41,654,0,0,0,0,0,344,384,654,0,0,0,660,639,884,3,0,0,4,0,4,0,0,0,0,0,0
1,8,4,407,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1225,1379,0,0,0,0,0,0,0,0,0,660,639,3,2669,0,0,4,0,4,0,0,0,0,0,0
1,8,4,100,0,2,0,0,0,0,0,0,24,20,0,0,0,21,19,0,0,0,0,41,982,0,0,0,0,0,536,622,982,0,0,0,660,639,444,3,0,0,274,285,274,240,127,133,2,2,0
1,8,4,2492,0,0,0,0,0,0,0,0,24,20,2,0,0,21,19,2,0,0,0,41,664,0,0,0,0,0,397,445,664,0,0,0,660,639,642,3,0,0,4,0,4,0,0,0,0,0,0
1,8,4,392,1,0,0,0,0,0,0,0,0,0,0,0,0,21,19,18,0,0,0,0,964,1183,1344,0,0,0,0,612,964,0,0,0,660,639,1956,1607,0,0,4,0,4,0,0,0,0,0,0
1,8,4,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,639,3,3,0,0,4,0,4,0,0,0,0,0,0
0,6,4,867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1343,1520,0,0,0,0,0,0,0,0,0,733,713,3,1913,0,0,4,0,4,0,0,0,0,0,0
1,9,4,68,0,2,0,0,0,4,0,0,14,27,19,4,0,13,27,20,17,4,0,41,1889,308,163,0,0,0,914,1120,1889,0,0,0,672,653,3335,1070,0,0,4,0,4,0,0,0,0,0,0
1,9,4,160,0,0,0,0,0,0,0,0,24,20,0,0,0,21,19,0,0,0,0,41,814,0,0,0,0,0,458,524,814,0,0,0,660,639,631,3,0,0,4,0,4,0,0,0,0,0,0
1,9,4,244,0,0,0,0,0,0,0,0,0,0,0,0,0,21,19,9,0,0,0,0,347,0,0,0,0,0,0,129,347,0,0,0,660,639,341,3,0,0,4,0,4,0,0,0,0,0,0
1,8,2,1495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,639,3,3,0,0,4,0,4,0,0,0,0,0,0
0,6,4,0,1,0,0,0,0,24,23,23,24,8,0,0,0,21,19,8,0,0,0,41,2104,0,0,0,0,0,1026,1335,2104,0,0,0,660,639,2901,3,0,0,4,0,4,0,0,0,0,0,16
1,8,4,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,639,3,3,0,0,4,0,4,0,0,0,0,0,0
0,6,4,827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,746,1261,0,1,2,0,0,0,0,0,0,574,554,3,1943,0,0,4,0,4,0,0,0,0,0,0
0,10,4,147,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,746,1261,0,1,2,0,0,0,0,0,0,574,554,3,1943,0,0,4,0,4,0,0,0,0,0,0
1,8,4,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,639,3,3,0,0,4,0,4,0,0,0,0,0,0
0,6,4,2433,1,0,0,0,0,0,0,0,24,2,0,0,0,21,2,0,0,0,0,41,1220,1527,1740,0,0,0,633,748,1220,0,0,0,660,639,2341,1924,0,0,4,0,4,0,0,0,0,0,0
0,10,2,1935,0,0,0,0,0,0,0,0,0,0,0,0,0,21,27,26,26,25,0,0,219,0,0,0,0,0,0,145,219,0,0,0,660,639,4727,3,0,0,4,0,4,0,0,0,0,0,0
1,9,2,1608,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,639,3,3,0,0,4,0,4,0,0,0,0,0,0
1,9,4,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,639,3,3,0,0,4,0,4,0,0,0,0,0,0
0,6,4,1157,1,1,0,0,0,0,0,0,2,27,0,0,0,21,2,0,0,0,0,41,1086,0,0,0,0,0,241,669,1086,0,0,0,660,639,4381,3,0,0,4,0,4,0,0,0,0,0,0
0,6,2,1655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,639,3,3,0,0,4,0,4,0,0,0,0,0,0
0,6,2,1765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,639,3,3,0,0,4,0,4,0,0,0,0,0,0
1,8,4,234,1,2,0,0,0,0,0,0,24,20,0,0,0,21,19,0,0,0,0,41,794,0,0,0,0,0,449,513,794,0,0,0,660,639,859,3,0,0,391,395,391,349,574,667,2,2,0
0,6,4,1431,0,0,0,0,0,0,0,0,24,5,4,0,0,21,5,4,0,0,0,41,1073,1343,1520,0,0,0,569,661,1073,0,0,0,716,696,4134,3639,0,0,4,0,4,0,0,0,0,0,0
0,6,4,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,639,3,3,0,0,4,0,4,0,0,0,0,0,0
1,8,4,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,799,865,0,0,0,0,0,0,0,0,0,660,639,3,990,0,0,4,0,4,0,0,0,0,0,0
0,6,4,692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,916,0,0,0,0,0,0,0,0,0,638,618,3,2614,0,0,4,0,4,0,0,0,0,0,0
0,10,2,1772,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,639,3,3,0,0,4,0,4,0,0,0,0,0,0
1,15,4,264,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,11,11,11,0,0,120,0,0,0,0,0,0,75,120,0,0,0,660,639,226,3,0,0,4,0,4,0,0,0,0,0,0
0,10,4,929,0,2,0,0,0,0,0,0,24,27,25,25,26,21,27,26,26,25,0,41,854,0,0,0,0,0,488,554,854,0,0,0,660,639,3965,3,0,0,586,572,586,552,707,834,2,2,0
0,10,4,941,0,2,0,0,0,0,0,0,24,27,25,25,26,21,27,26,26,25,0,41,854,0,0,0,0,0,488,554,854,0,0,0,660,639,3965,3,0,0,586,572,586,552,707,834,2,2,0
0,10,4,918,0,2,0,0,0,0,0,0,24,27,25,25,26,21,27,26,26,25,0,41,854,0,0,0,0,0,488,554,854,0,0,0,660,639,3965,3,0,0,586,572,586,552,707,834,2,2,0
0,10,4,827,0,2,0,0,0,0,0,0,24,27,25,25,26,21,27,26,26,25,0,41,854,0,0,0,0,0,488,554,854,0,0,0,660,639,3965,3,0,0,586,572,586,552,707,834,2,2,0
1,8,2,1870,0,1,0,0,0,8,5,0,24,18,8,5,0,21,17,8,5,0,0,46,1724,0,0,0,0,0,859,1045,1724,0,0,0,660,639,5212,3,179,274,839,919,839,990,734,873,2,2,0
0,6,2,1150,1,0,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1916,2224,0,0,0,0,0,0,3,4,4,716,696,3,4252,0,0,4,0,4,0,0,0,0,0,0
1,8,4,2430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,639,3,3,0,0,4,0,4,0,0,0,0,0,0
0,6,4,507,0,1,0,0,0,0,0,0,24,27,25,25,26,21,27,26,26,25,0,44,1882,2033,2378,0,1,1,421,1247,1882,0,0,0,660,639,3450,3207,289,411,937,20,937,906,538,634,2,2,0
0,6,2,1537,0,1,0,0,0,0,0,0,24,7,8,0,0,21,7,8,0,0,0,41,1723,0,0,0,0,0,922,1138,1723,0,0,0,660,639,4625,3,0,0,4,0,4,0,0,0,0,0,0
1,8,4,2501,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,801,867,0,0,0,0,0,0,0,0,0,660,639,3,757,0,0,4,0,4,0,0,0,0,0,0
0,6,4,642,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1933,2243,0,0,0,0,0,0,0,0,0,640,620,3,3728,0,0,4,0,4,0,0,0,0,0,16
